Region,Node Name,Uplink,Uplink_NMS,Trunk,Trunk_NMS,OM,OM_NMS,SIP,SIP_NMS,HSI,HSI_NMS,IPOE,IPOE_NMS,SIGNALING,SIGNALING_NMS,MEDIA,MEDIA_NMS,Auth IP,Auth IP_NMS,UnAuth IP,UnAuth IP_NMS
SLZ,BTY_116_HYB_01,ATN910C-B,BTY_116_TDCAN_910CB_01_SL2566,BTY_116_TDCAN_910CB_01_SL2566-Eth-Trunk4,Eth-Trunk4||GE0/2/4(10G),238,N/A,239,,1840,"239
1840",400,N/A,nan,,nan,,"100.87.188.0/22
10.58.24.0/21",10.58.24.0/21,"100.117.166.0/24
10.82.54.0/23",10.82.54.0/23
NCR,LSP-107-IS,ATN910C-B,LSP_107_TDCAN_910C_01_NCR1416,LSP-107-NCR1416-ATN910C-01,GigabitEthernet0/2/12,4029,4093,,"980
1909",129,"129
1951",-,N/A,nan,,nan,,nan,-,nan,-
NCR,LSP-107-IS,ATN910C-B,LSP_107_TDCAN_910C_01_NCR1416,LSP-107-NCR1416-ATN910C-01,GigabitEthernet0/2/12,4093,N/A,,"980
1909",,"129
1951",-,N/A,655,,656,,nan,-,nan,-
NCR,LSP-107-IS,ATN910C-B,LSP_107_TDCAN_910C_01_NCR1416,LSP-107-NCR1416-ATN910C-01,GigabitEthernet0/2/12,4093,N/A,,"980
1909",,"129
1951",-,N/A,nan,,nan,,nan,-,nan,-
NCR,MD-541-IS,ATN910B,MD_541_TDCAN_910B_01_NCR1624,MND-541-NCR1624-ATN910B-01,GigabitEthernet0/2/16,4079,4093,,N/A,479,N/A,-,N/A,nan,,nan,,nan,-,nan,-
NCR,MD-541-IS,ATN910B,MD_541_TDCAN_910B_01_NCR1624,MND-541-NCR1624-ATN910B-01,GigabitEthernet0/2/16,4079,4093,,N/A,479,N/A,-,N/A,nan,,nan,,nan,-,nan,-
NCR,MD-541-IS,ATN910B,MD_541_TDCAN_910B_01_NCR1624,MND-541-NCR1624-ATN910B-01,GigabitEthernet0/2/16,4093,N/A,,N/A,,479,-,N/A,655,,656,,nan,-,nan,-
NCR,MD-541-IS,ATN910B,MD_541_TDCAN_910B_01_NCR1624,MND-541-NCR1624-ATN910B-01,GigabitEthernet0/2/16,4093,N/A,,N/A,,479,-,N/A,nan,,nan,,nan,-,nan,-
NCR,MD-541-IS,ATN910B,MD_541_TDCAN_910B_01_NCR1624,MND-541-NCR1624-ATN910B-01,GigabitEthernet0/2/16,4093,N/A,,N/A,,479,-,N/A,655,,656,,nan,-,nan,-
NCR,MD-541-IS,ATN910B,MD_541_TDCAN_910B_01_NCR1624,MND-541-NCR1624-ATN910B-01,GigabitEthernet0/2/16,4093,N/A,,N/A,,479,-,N/A,nan,,nan,,nan,-,nan,-
SLZ,CLP_701_HYB_01,ATN910C-B,CLP-701-SL1823-ATN910C-01,CLP-701-SL1823-ATN910C-01-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),644,N/A,"185
1911",N/A,1861,N/A,400,N/A,nan,,nan,,"100.87.76.0/22
10.57.240.0/21",10.57.240.0/21,"100.117.138.0/24
10.82.44.0/23",10.82.44.0/23
SLZ,CLP_702_HYB_01,ATN910C-B,CLP-702-SL1824-ATN910C-01,CLP-702-SL1824-ATN910C-01-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),644,N/A,185,N/A,1861,N/A,400,N/A,nan,,nan,,"100.87.80.0/22
10.58.176.0/21",10.58.176.0/21,"100.117.139.0/24
10.82.92.0/23",10.82.92.0/23
NCR,TGG_028_GPONA_01,-,TGG_028_TDCAN_910CG_01_NCR7470,-,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),3690,N/A,"1977
2088
2326",2088,3692,"2326
3692",400,-,-,,-,,"100.98.192.0/20
100.77.134.0 /23",-,"100.120.172.0/22
100.115.127.0 /25",-
NCR,TGG_022_HYB_01,-,TGG_022_TDCAN_T910D_01_NCR6898,-,Eth-Trunk3||GE0/2/4(10G),3955,N/A,3956,"628
3956",3531,N/A,400,N/A,nan,,nan,,10.83.192.0/19,-,100.120.48.0/21,-
SLZ,CAB_607_HYB_02,ATN910C-B,CAB_607_TDCAN_910CB_01_SL1463,CAB_607_TDCAN_910CB_01_SL1463-Eth-Trunk5,Eth-Trunk5||GE0/2/6(10G)|GE0/2/7(10G),657,N/A,658,N/A,606,N/A,400,N/A,-,,-,,"100.87.96.0/22
10.56.112.0/20",10.56.112.0/20,"100.117.143.0/24
10.75.204.0/22",10.75.204.0/22
SLZ,DSM_102_HYB_01,ATN910C-B,DSM-102-SL2376-ATN910C-01,DSM-102-SL2376-ATN910C-01-Eth-Trunk3,Eth-Trunk3||GE0/2/13|GE0/2/14,209,N/A,210,N/A,211,N/A,400,N/A,nan,,nan,,100.91.218.0/23,100.91.218.0/25,100.118.94.128/25,N/A
SLZ,BTY_110_HYB_01,ATN910C-B,BTY_110_TDCAN_910CB_01_SL2435,BTY_110_TDCAN_910CB_01_SL2435-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),224,N/A,225,N/A,226,N/A,400,N/A,nan,,nan,,"100.87.164.0/22
10.59.24.0/21",10.59.24.0/21,"100.117.160.0/24
10.82.118.0/23",10.82.118.0/23
SLZ,CMO_703_HYB_01,ATN910B,CMO_703_TDCAN_910D_01_SL1429,CMO_703_TDCAN_910D_01_SL1429-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G),273,N/A,274,N/A,275,N/A,400,N/A,nan,,nan,,"100.86.20.0/22
10.56.184.0/21",10.56.184.0/21,"100.117.61.0/24
10.75.222.0/23",10.75.222.0/23
SLZ,CMO_704_HYB_01,ATN910B,CMO_704_TDCAN_910D_01_SL1430,CMO_704_TDCAN_910D_01_SL1430-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G),273,N/A,274,N/A,275,N/A,400,N/A,nan,,nan,,"100.86.4.0/22
10.56.192.0/21",10.56.192.0/21,"100.117.57.0/24
10.75.224.0/23",10.75.224.0/23
SLZ,BCR_701_VDB_01,ATN910C-B,BCR-701-SL1306-ATN910C-01,BCR-701-SL1306-ATN910C-01-Eth-Trunk2,Eth-Trunk2||GE0/2/13|GE0/2/14,865,N/A,1698,N/A,1699,N/A,400,N/A,nan,,nan,,100.92.34.0/24,100.92.34.0/23,100.119.1.128/26,N/A
SLZ,BCR_702_HYB_01,ATN910C-B,BCR_702_TDCAN_910CG_01_SL1307,BCR_702_TDCAN_910CG_01_SL1307-Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G),865,N/A,1698,N/A,1699,N/A,400,N/A,nan,,nan,,"100.86.104.0/22
10.58.32.0/21",10.58.32.0/21,"100.117.82.0/24
10.82.56.0/23",10.82.56.0/23
